date,seven_day_ema
2024-06-28,491.4087
2024-06-27,490.6114
2024-06-26,489.8803
2024-06-25,489.2039
2024-06-24,488.4643
2024-06-21,487.6518
2024-06-20,486.7784
2024-06-18,485.6359
2024-06-17,484.5582
2024-06-14,483.7202
2024-06-13,482.9083
2024-06-12,481.9002
2024-06-11,480.9167
2024-06-10,480.3424
2024-06-07,479.7847
2024-06-06,479.1625
2024-06-05,478.4087
2024-06-04,477.8758
2024-06-03,477.5720
2024-05-31,477.0893
2024-05-30,476.9209
2024-05-29,476.6805
2024-05-28,476.3500
2024-05-24,475.7074
2024-05-23,475.1730
2024-05-22,474.2767
2024-05-21,473.4643
2024-05-20,472.6825
2024-05-17,471.8295
2024-05-16,470.9652
2024-05-15,469.9752
2024-05-14,469.1720
2024-05-13,468.6129
2024-05-10,467.9212
2024-05-09,467.2271
2024-05-08,466.7669
2024-05-07,466.4124
2024-05-06,465.8884
2024-05-03,465.5675
2024-05-02,465.3935
2024-05-01,465.6473
2024-04-30,466.0966
2024-04-29,466.1198
2024-04-26,466.0471
2024-04-25,466.2106
2024-04-24,466.8362
2024-04-23,467.0376
2024-04-22,467.5546
2024-04-19,468.3567
2024-04-18,469.1152
2024-04-17,469.7631
2024-04-16,470.1979
2024-04-15,470.7357
2024-04-12,470.6631
2024-04-11,470.6337
2024-04-10,470.5190
2024-04-09,470.5388
2024-04-08,470.1152
2024-04-05,469.7470
2024-04-04,469.6489
2024-04-03,468.9702
2024-04-02,468.6130
2024-04-01,468.1975
2024-03-28,467.4022
2024-03-27,466.5912
2024-03-26,465.8178
2024-03-25,465.0219
2024-03-22,464.2626
2024-03-21,463.3038
2024-03-20,462.1964
2024-03-19,461.4976
2024-03-18,460.9793
2024-03-15,460.3055
2024-03-14,459.8277
2024-03-13,458.9915
2024-03-12,458.0874
2024-03-11,457.3532
2024-03-08,456.7546
2024-03-07,455.8017
2024-03-06,454.9297
2024-03-05,454.1606
2024-03-04,453.3590
2024-03-01,452.3884
2024-02-29,451.5413
2024-02-28,450.6947
2024-02-27,449.9596
2024-02-26,449.0902
2024-02-23,448.0595
2024-02-22,446.8960
2024-02-21,445.9859
2024-02-20,445.5542
2024-02-16,444.9475
2024-02-15,444.0496
2024-02-14,443.2391
2024-02-13,442.5319
2024-02-12,441.9196
2024-02-09,440.8450
2024-02-08,439.8382
2024-02-07,438.8119
2024-02-06,437.8286
2024-02-05,436.9535
2024-02-02,436.0077
2024-02-01,435.2516
2024-01-31,434.7625
2024-01-30,433.9870
2024-01-29,433.0346
2024-01-26,432.1954
2024-01-25,431.3071
2024-01-24,430.3549
2024-01-23,429.3247
2024-01-22,428.4625
2024-01-19,427.5449
2024-01-18,426.9593
2024-01-17,426.5676
2024-01-16,426.2845
2024-01-12,425.7634
2024-01-11,425.0474
2024-01-10,424.2936
2024-01-09,423.7051
2024-01-08,423.2232
2024-01-05,422.9252
2024-01-04,422.6656
2024-01-03,422.3374
2024-01-02,421.8502
2023-12-29,421.2206
2023-12-28,420.2762
2023-12-27,419.2407
2023-12-26,418.2266
2023-12-22,417.2268
2023-12-21,416.1721
2023-12-20,415.2042
2023-12-19,414.0066
2023-12-18,412.8147
2023-12-15,411.6360
2023-12-14,410.4750
2023-12-13,409.1636
2023-12-12,408.2625
2023-12-11,407.4807
2023-12-08,406.7684
2023-12-07,406.1462
2023-12-06,405.5193
2023-12-05,404.7263
2023-12-04,404.1017
2023-12-01,403.4129
2023-11-30,402.6643
2023-11-29,401.8839
2023-11-28,400.9460
2023-11-27,400.1351
2023-11-24,399.2314
2023-11-22,398.2380
2023-11-21,397.1844
2023-11-20,396.1720
2023-11-17,395.2542
2023-11-16,394.2766
2023-11-15,393.3133
2023-11-14,392.2290
2023-11-13,391.3088
2023-11-10,390.7650
2023-11-09,390.3884
2023-11-08,389.8343
2023-11-07,389.2980
2023-11-06,388.8427
2023-11-03,388.3656
2023-11-02,388.0056
2023-11-01,388.0294
2023-10-31,388.5214
2023-10-30,389.2343
2023-10-27,390.1628
2023-10-26,391.1130
2023-10-25,391.9855
2023-10-24,392.5791
2023-10-23,393.1673
2023-10-20,393.9871
2023-10-19,394.4609
2023-10-18,394.6543
2023-10-17,394.6619
2023-10-16,394.7560
2023-10-13,394.7924
2023-10-12,394.7467
2023-10-11,394.5839
2023-10-10,394.4925
2023-10-09,394.5653
2023-10-06,394.9822
2023-10-05,395.7764
2023-10-04,396.4752
2023-10-03,397.3696
2023-10-02,398.1313
2023-09-29,398.8555
2023-09-28,399.3077
2023-09-27,400.1832
2023-09-26,401.0180
2023-09-25,401.7827
2023-09-22,402.5973
2023-09-21,403.2619
2023-09-20,403.7681
2023-09-19,403.7887
2023-09-18,403.8950
2023-09-15,403.9841
2023-09-14,403.8239
2023-09-13,403.6302
2023-09-12,403.6025
2023-09-11,403.5274
2023-09-08,403.3669
2023-09-07,403.4033
2023-09-06,403.5544
2023-09-05,403.3808
2023-09-01,403.0526
2023-08-31,402.5481
2023-08-30,402.1093
2023-08-29,401.7728
2023-08-28,401.8379
2023-08-25,401.9361
2023-08-24,402.2639
2023-08-23,402.2391
2023-08-22,402.5552
2023-08-21,402.7714
2023-08-18,403.2207
2023-08-17,403.9708
2023-08-16,404.2860
2023-08-15,404.5373
2023-08-14,404.5682
2023-08-11,404.7051
2023-08-10,404.8929
2023-08-09,404.8320
2023-08-08,404.7085
2023-08-07,404.6376
2023-08-04,404.5259
2023-08-03,404.2800
2023-08-02,404.1850
2023-08-01,403.7586
2023-07-31,403.1126
2023-07-28,402.3500
2023-07-27,401.6292
2023-07-26,400.6643
2023-07-25,399.9163
2023-07-24,399.1535
2023-07-21,398.3719
2023-07-20,397.5005
2023-07-19,396.5560
2023-07-18,395.4941
2023-07-17,394.6417
2023-07-14,393.8161
2023-07-13,392.8459
2023-07-12,391.9718
2023-07-11,391.1293
2023-07-10,390.5969
2023-07-07,390.1733
2023-07-06,389.6932
2023-07-05,389.1291
2023-07-03,388.3746
2023-06-30,387.5061
2023-06-29,386.6811
2023-06-28,386.1254
2023-06-27,385.5867
2023-06-26,385.1835
2023-06-23,384.7363
2023-06-22,384.2386
2023-06-21,383.6423
2023-06-20,382.8674
2023-06-16,381.9592
2023-06-15,380.6364
2023-06-14,379.7429
2023-06-13,378.7465
2023-06-12,377.7890
2023-06-09,377.0389
2023-06-08,376.3001
2023-06-07,375.7195
2023-06-06,374.9831
2023-06-05,374.3055
2023-06-02,373.4804
2023-06-01,372.8325
2023-05-31,372.5381
2023-05-30,372.2158
2023-05-26,371.6378
2023-05-25,371.4342
2023-05-24,371.2606
2023-05-23,371.2158
2023-05-22,370.8782
2023-05-19,370.4178
2023-05-18,369.8335
2023-05-17,369.5312
2023-05-16,369.3712
2023-05-15,369.2313
2023-05-12,369.0581
2023-05-11,368.7978
2023-05-10,368.6129
2023-05-09,368.2927
2023-05-08,368.1245
2023-05-05,367.8295
2023-05-04,367.7627
2023-05-03,367.8199
2023-05-02,367.6054
2023-05-01,367.1630
2023-04-28,366.6447
2023-04-27,366.3405
2023-04-26,366.2962
2023-04-25,366.2644
2023-04-24,365.9921
2023-04-21,365.6131
2023-04-20,365.1943
2023-04-19,364.8077
2023-04-18,364.3300
2023-04-17,363.6089
2023-04-14,363.0411
2023-04-13,362.4051
2023-04-12,361.9526
2023-04-11,361.3004
2023-04-10,360.7048
2023-04-06,360.2948
2023-04-05,359.8484
2023-04-04,359.3009
2023-04-03,358.4800
2023-03-31,357.7779
2023-03-30,357.2858
2023-03-29,356.7971
2023-03-28,356.5340
2023-03-27,356.5140
2023-03-24,356.3447
2023-03-23,356.5526
2023-03-22,356.5707
2023-03-21,356.3677
2023-03-20,356.2423
2023-03-17,356.5094
2023-03-16,356.6405
2023-03-15,357.2675
2023-03-14,358.0104
2023-03-13,358.5067
2023-03-10,359.5845
2023-03-09,360.1590
2023-03-08,360.2324
2023-03-07,360.3945
2023-03-06,360.1956
2023-03-03,359.9405
2023-03-02,360.0028
2023-03-01,360.5064
2023-02-28,360.8741
2023-02-27,361.1545
2023-02-24,361.2872
2023-02-23,361.7107
2023-02-22,361.7752
2023-02-21,361.9715
2023-02-17,361.9643
2023-02-16,361.7692
2023-02-15,361.3934
2023-02-14,360.8913
2023-02-13,360.2999
2023-02-10,359.8236
2023-02-09,359.4929
2023-02-08,358.6022
2023-02-07,357.7363
2023-02-06,357.0737
2023-02-03,356.3124
2023-02-02,355.3870
2023-02-01,354.1942
2023-01-31,353.5131
2023-01-30,353.0432
2023-01-27,352.4371
2023-01-26,351.7393
2023-01-25,351.0224
2023-01-24,350.7064
2023-01-23,350.1804
2023-01-20,349.7571
2023-01-19,349.7131
2023-01-18,349.7127
2023-01-17,349.1115
2023-01-13,348.5012
2023-01-12,348.1528
2023-01-11,347.5916
2023-01-10,347.2662
2023-01-09,347.2264
2023-01-06,346.9890
2023-01-05,347.2166
2023-01-04,347.5179
2023-01-03,347.7475
2022-12-30,347.9202
2022-12-29,348.3334
2022-12-28,348.8343
2022-12-27,349.2681
2022-12-23,349.6414
2022-12-22,350.2312
2022-12-21,350.6561
2022-12-20,351.0955
2022-12-19,351.8180
2022-12-16,352.3210
2022-12-15,352.7568
2022-12-14,352.7649
2022-12-13,352.3288
2022-12-12,351.3252
2022-12-09,351.2474
2022-12-08,351.1159
2022-12-07,350.9666
2022-12-06,350.9465
2022-12-05,350.5199
2022-12-02,349.7827
2022-12-01,349.1033
2022-11-30,347.9604
2022-11-29,347.5720
2022-11-28,347.1247
2022-11-25,346.4499
2022-11-23,345.5588
2022-11-22,344.7525
2022-11-21,344.0717
2022-11-18,343.4608
2022-11-17,342.6272
2022-11-16,342.1830
2022-11-15,341.3124
2022-11-14,340.1166
2022-11-11,339.1121
2022-11-10,338.0974
2022-11-09,337.4938
2022-11-08,337.3477
2022-11-07,337.1158
2022-11-04,337.0792
2022-11-03,337.0837
2022-11-02,337.4286
2022-11-01,337.0298
2022-10-31,336.2177
2022-10-28,335.5757
2022-10-27,335.3001
2022-10-26,334.8035
2022-10-25,334.3632
2022-10-24,334.0703
2022-10-21,333.9317
2022-10-20,334.4511
2022-10-19,334.8272
2022-10-18,335.1709
2022-10-17,335.1599
2022-10-14,335.8264
2022-10-13,336.2672
2022-10-12,337.9313
2022-10-11,339.1526
2022-10-10,340.4548
2022-10-07,341.4932
2022-10-06,342.2939
2022-10-05,342.7405
2022-10-04,343.3562
2022-10-03,344.0801
2022-09-30,345.5483
2022-09-29,347.0655
2022-09-28,348.3800
2022-09-27,349.9428
2022-09-26,351.3765
2022-09-23,353.0134
2022-09-22,354.5059
2022-09-21,355.7360
2022-09-20,356.4609
2022-09-19,357.3027
2022-09-16,358.3749
2022-09-15,359.4034
2022-09-14,360.0620
2022-09-13,360.6711
2022-09-12,360.8706
2022-09-09,360.6510
2022-09-08,360.7890
2022-09-07,361.3951
2022-09-06,362.3447
2022-09-02,363.1927
2022-09-01,363.6590
2022-08-31,364.6150
2022-08-30,365.2021
2022-08-29,365.5831
2022-08-26,366.0927
2022-08-25,365.5832
2022-08-24,365.2917
2022-08-23,365.1712
2022-08-22,364.9983
2022-08-19,364.5549
2022-08-18,363.5952
2022-08-17,362.4545
2022-08-16,361.2926
2022-08-15,359.9383
2022-08-12,358.6743
2022-08-11,357.4928
2022-08-10,356.1684
2022-08-09,355.0118
2022-08-08,354.1743
2022-08-05,353.0947
2022-08-04,352.2833
2022-08-03,351.1334
2022-08-02,350.1507
2022-08-01,349.1724
2022-07-29,348.1259
2022-07-28,347.1002
2022-07-27,346.3584
2022-07-26,346.0285
2022-07-25,345.7005
2022-07-22,345.2349
2022-07-21,344.5469
2022-07-20,344.1007
2022-07-19,343.7347
2022-07-18,343.7275
2022-07-15,343.5849
2022-07-14,343.7825
2022-07-13,344.5495
2022-07-12,345.2806
2022-07-11,345.5371
2022-07-08,345.6616
2022-07-07,345.7234
2022-07-06,345.9162
2022-07-05,346.3080
2022-07-01,347.1109
2022-06-30,347.9238
2022-06-29,348.8115
2022-06-28,349.4564
2022-06-27,349.5992
2022-06-24,349.6907
2022-06-23,350.3853
2022-06-22,351.4206
2022-06-21,352.8965
2022-06-17,354.4003
2022-06-16,356.3991
2022-06-15,358.3248
2022-06-14,359.9615
2022-06-13,361.7410
2022-06-10,363.4609
2022-06-09,364.3800
2022-06-08,364.4768
2022-06-07,364.2969
2022-06-06,364.4599
2022-06-03,364.2236
2022-06-02,364.1187
2022-06-01,364.1862
2022-05-31,363.9124
2022-05-27,363.7116
2022-05-26,363.8488
2022-05-25,364.5608
2022-05-24,365.7147
2022-05-23,366.9275
2022-05-20,368.2081
2022-05-19,369.5556
2022-05-18,371.2782
2022-05-17,372.2008
2022-05-16,373.0087
2022-05-13,374.2682
2022-05-12,375.8128
2022-05-11,377.9227
2022-05-10,379.6368
2022-05-09,381.0746
2022-05-06,382.5810
2022-05-05,383.8153
2022-05-04,384.3224
2022-05-03,385.3215
2022-05-02,386.5047
2022-04-29,387.9577
2022-04-28,388.8037
2022-04-27,389.7872
2022-04-26,391.1532
2022-04-25,392.0879
2022-04-22,393.2187
2022-04-21,393.6124
2022-04-20,393.3208
2022-04-19,393.1128
2022-04-18,393.4387
2022-04-14,393.8557
2022-04-13,393.8908
2022-04-12,394.2711
2022-04-11,394.3608
2022-04-08,394.3789
2022-04-07,394.1754
2022-04-06,394.1075
2022-04-05,393.9578
2022-04-04,393.2788
2022-04-01,392.6933
2022-03-31,392.0522
2022-03-30,391.0814
2022-03-29,389.8913
2022-03-28,388.6391
2022-03-25,387.7969
2022-03-24,386.9438
2022-03-23,386.3579
2022-03-22,385.6713
2022-03-21,385.0009
2022-03-18,384.3745
2022-03-17,384.0936
2022-03-16,384.1473
2022-03-15,384.4130
2022-03-14,385.3363
2022-03-11,386.2430
2022-03-10,386.7779
2022-03-09,387.6932
2022-03-08,388.5098
2022-03-07,389.7223
2022-03-04,390.2909
2022-03-03,390.8854
2022-03-02,390.9845
2022-03-01,391.5745
2022-02-28,392.0533
2022-02-25,392.7529
2022-02-24,393.6485
2022-02-23,395.7459
2022-02-22,396.6629
2022-02-18,397.6890
2022-02-17,398.4476
2022-02-16,398.9044
2022-02-15,399.3457
2022-02-14,399.8187
2022-02-11,400.5729
2022-02-10,400.8010
2022-02-09,400.9267
2022-02-08,400.8211
2022-02-07,401.2274
2022-02-04,401.4953
2022-02-03,401.9733
2022-02-02,402.2024
2022-02-01,402.1562
2022-01-31,402.4146
2022-01-28,403.2657
2022-01-27,404.6960
2022-01-26,405.8861
2022-01-25,406.9773
2022-01-24,408.6404
2022-01-21,410.4786
2022-01-20,411.6179
2022-01-19,412.3411
2022-01-18,412.8489
2022-01-14,413.2956
2022-01-13,413.6852
2022-01-12,413.4289
2022-01-11,413.1901
2022-01-10,413.3248
2022-01-07,413.6212
2022-01-06,413.6179
2022-01-05,413.6149
2022-01-04,413.0428
2022-01-03,412.3118
2021-12-31,411.7062
2021-12-30,411.1052
2021-12-29,410.3195
2021-12-28,409.5387
2021-12-27,408.6523
2021-12-23,408.0562
2021-12-22,407.6226
2021-12-21,407.5212
2021-12-20,407.6648
2021-12-17,408.0679
2021-12-16,408.0720
2021-12-15,407.5008
2021-12-14,407.4486
2021-12-13,407.4133
2021-12-10,406.9421
2021-12-09,406.4992
2021-12-08,406.0904
2021-12-07,405.6212
2021-12-06,405.3818
2021-12-03,405.6262
2021-12-02,405.7084
2021-12-01,406.3050
2021-11-30,406.2786
2021-11-29,406.2287
2021-11-26,406.0491
2021-11-24,405.9576
2021-11-23,405.6371
2021-11-22,405.2277
2021-11-19,404.5681
2021-11-18,403.9330
2021-11-17,403.2826
2021-11-16,402.6005
2021-11-15,401.9850
2021-11-12,401.2326
2021-11-11,400.6457
2021-11-10,400.0157
2021-11-09,399.3164
2021-11-08,398.3396
2021-11-05,397.2744
2021-11-04,396.1574
2021-11-03,395.2080
2021-11-02,394.4381
2021-11-01,393.6806
2021-10-29,392.8683
2021-10-28,392.2668
2021-10-27,391.6483
2021-10-26,390.9290
2021-10-25,390.1198
2021-10-22,389.4286
2021-10-21,388.7597
2021-10-20,388.1240
2021-10-19,387.4868
2021-10-18,386.9377
2021-10-15,386.6508
2021-10-14,386.2965
2021-10-13,386.2627
2021-10-12,386.4948
2021-10-11,386.6828
2021-10-08,386.7940
2021-10-07,386.7720
2021-10-06,386.8126
2021-10-05,387.4124
2021-10-04,387.9934
2021-10-01,388.4453
2021-09-30,389.0535
2021-09-29,389.3982
2021-09-28,389.8162
2021-09-27,389.9903
2021-09-24,389.9875
2021-09-23,390.0667
2021-09-22,390.2477
2021-09-21,390.6742
2021-09-20,391.0979
2021-09-17,391.6529
2021-09-16,391.6376
2021-09-15,391.5607
2021-09-14,391.6418
2021-09-13,391.5157
2021-09-10,391.3481
2021-09-09,391.0259
2021-09-08,390.7046
2021-09-07,390.3486
2021-09-03,389.8535
2021-09-02,389.3697
2021-09-01,388.7721
2021-08-31,388.1827
2021-08-30,387.5784
2021-08-27,386.9983
2021-08-26,386.6133
2021-08-25,386.1147
2021-08-24,385.6049
2021-08-23,385.0704
2021-08-20,384.6736
2021-08-19,384.5504
2021-08-18,384.6552
2021-08-17,384.3634
2021-08-16,383.9732
2021-08-13,383.5363
2021-08-12,383.0080
2021-08-11,382.5631
2021-08-10,382.0757
2021-08-09,381.6265
2021-08-06,381.1569
2021-08-05,380.6752
2021-08-04,380.2750
2021-08-03,379.8728
2021-08-02,379.5239
2021-07-30,379.0390
2021-07-29,378.6648
2021-07-28,378.1483
2021-07-27,377.6087
2021-07-26,377.0134
2021-07-23,376.4120
2021-07-22,375.8844
2021-07-21,375.4824
2021-07-20,375.1995
2021-07-19,375.3012
2021-07-16,375.3812
2021-07-15,374.8701
2021-07-14,374.3961
2021-07-13,373.7367
2021-07-12,373.0963
2021-07-09,372.4632
2021-07-08,371.9622
2021-07-07,371.6526
2021-07-06,371.0272
2021-07-02,370.3522
2021-07-01,369.7570
2021-06-30,369.2887
2021-06-29,368.8922
2021-06-28,368.4268
2021-06-25,367.9722
2021-06-24,367.5605
2021-06-23,367.1866
2021-06-22,366.8881
2021-06-21,366.7075
2021-06-18,366.7599
2021-06-17,366.7968
2021-06-16,366.6506
2021-06-15,366.3106
2021-06-14,365.8991
2021-06-11,365.5210
2021-06-10,365.1305
2021-06-09,364.7880
2021-06-08,364.4074
2021-06-07,364.0058
2021-06-04,363.6080
2021-06-03,363.2950
2021-06-02,363.1337
2021-06-01,362.8117
2021-05-28,362.3328
2021-05-27,361.9175
2021-05-26,361.5226
2021-05-25,361.1787
2021-05-24,360.7250
2021-05-21,360.4180
2021-05-20,360.1200
2021-05-19,360.1073
2021-05-18,360.3898
2021-05-17,360.1542
2021-05-14,359.9253
2021-05-13,359.8178
2021-05-12,360.0704
2021-05-11,360.0891
2021-05-10,359.9969
2021-05-07,359.3298
2021-05-06,358.7736
2021-05-05,358.4259
2021-05-04,357.9584
2021-05-03,357.5373
2021-04-30,356.8877
2021-04-29,356.3016
2021-04-28,355.5117
2021-04-27,354.8182
2021-04-26,354.0703
2021-04-23,353.3017
2021-04-22,352.7532
2021-04-21,351.9863
2021-04-20,351.4317
2021-04-19,350.6938
2021-04-16,349.7652
2021-04-15,348.7110
2021-04-14,347.7960
2021-04-13,346.8750
2021-04-12,345.9619
2021-04-09,345.0300
2021-04-08,344.1833
2021-04-07,343.3079
2021-04-06,342.4921
2021-04-05,341.6267
2021-04-01,340.8427
2021-03-31,340.3125
2021-03-30,339.9302
2021-03-29,339.5760
2021-03-26,339.1967
2021-03-25,339.0013
2021-03-24,339.0891
2021-03-23,338.8801
2021-03-22,338.6031
2021-03-19,338.4208
2021-03-18,338.2351
2021-03-17,337.8351
2021-03-16,337.4010
2021-03-15,336.7872
2021-03-12,336.2913
2021-03-11,335.9031
2021-03-10,335.4777
2021-03-09,335.1773
2021-03-08,335.0884
2021-03-05,335.0666
2021-03-04,335.2958
2021-03-03,335.4938
2021-03-02,335.4300
2021-03-01,335.1211
2021-02-26,335.0414
2021-02-25,335.0269
2021-02-24,334.6476
2021-02-23,334.4960
2021-02-22,334.4295
2021-02-19,334.2177
2021-02-18,333.6885
2021-02-17,333.2687
2021-02-16,332.7682
2021-02-12,332.0291
2021-02-11,331.4811
2021-02-10,330.8128
2021-02-09,330.0449
2021-02-08,329.3750
2021-02-05,328.6786
2021-02-04,328.0009
2021-02-03,327.5892
2021-02-02,327.1764
2021-02-01,326.9086
2021-01-29,326.9768
2021-01-28,326.9399
2021-01-27,326.8572
2021-01-26,326.5353
2021-01-25,325.8844
2021-01-22,325.2881
2021-01-21,324.7376
2021-01-20,324.0131
2021-01-19,323.4440
2021-01-15,323.0006
2021-01-14,322.6266
2021-01-13,321.9926
2021-01-12,321.4288
2021-01-11,320.8136
2021-01-08,320.2175
2021-01-07,319.4155
2021-01-06,318.8289
2021-01-05,318.5911
2021-01-04,318.4278
2020-12-31,317.8202
2020-12-30,317.3801
2020-12-29,316.8795
2020-12-28,316.2560
2020-12-24,315.7132
2020-12-23,315.3534
2020-12-22,314.9577
2020-12-21,314.5392
2020-12-18,314.2891
2020-12-17,313.6595
2020-12-16,313.0268
2020-12-15,312.4769
2020-12-14,312.0318
2020-12-11,311.4830
2020-12-10,311.1211
2020-12-09,310.7063
2020-12-08,309.9338
2020-12-07,309.2970
2020-12-04,308.5394
2020-12-03,307.8315
2020-12-02,307.1136
2020-12-01,306.4562
2020-11-30,305.7079
2020-11-27,305.0721
2020-11-25,304.3349
2020-11-24,303.5868
2020-11-23,302.9598
2020-11-20,302.4681
2020-11-19,301.9340
2020-11-18,301.4705
2020-11-17,300.6578
2020-11-16,299.8477
2020-11-13,298.9218
2020-11-12,298.2708
2020-11-11,297.5560
2020-11-10,296.7476
2020-11-09,296.0561
2020-11-06,294.6922
2020-11-05,294.0758
2020-11-04,293.4496
2020-11-03,293.2850
2020-11-02,293.5403
2020-10-30,294.0217
2020-10-29,294.6541
2020-10-28,295.4110
2020-10-27,295.9068
2020-10-26,295.9774
2020-10-23,295.9142
2020-10-22,295.6167
