date,daily_obv
2024-06-28,125498898.0000
2024-06-27,131097469.0000
2024-06-26,127477814.0000
2024-06-25,124275114.0000
2024-06-24,117938390.0000
2024-06-21,124961234.0000
2024-06-20,129309072.0000
2024-06-18,134119939.0000
2024-06-17,130688274.0000
2024-06-14,126078735.0000
2024-06-13,120266689.0000
2024-06-12,111457810.0000
2024-06-11,107759023.0000
2024-06-10,103730600.0000
2024-06-07,100265378.0000
2024-06-06,103328965.0000
2024-06-05,124672929.0000
2024-06-04,121646783.0000
2024-06-03,119086514.0000
2024-05-31,114875258.0000
2024-05-30,109541287.0000
2024-05-29,112934876.0000
2024-05-28,118539837.0000
2024-05-24,114505121.0000
2024-05-23,111949880.0000
2024-05-22,115761187.0000
2024-05-21,119011768.0000
2024-05-20,116558192.0000
2024-05-17,113958607.0000
2024-05-16,110684572.0000
2024-05-15,114031953.0000
2024-05-14,109632468.0000
2024-05-13,106374744.0000
2024-05-10,103266302.0000
2024-05-09,99919143.0000
2024-05-08,96433094.0000
2024-05-07,93218216.0000
2024-05-06,89766914.0000
2024-05-03,84984372.0000
2024-05-02,80397513.0000
2024-05-01,76425089.0000
2024-04-30,82540466.0000
2024-04-29,86905302.0000
2024-04-26,83652097.0000
2024-04-25,78744984.0000
2024-04-24,83621212.0000
2024-04-23,91309049.0000
2024-04-22,87051649.0000
2024-04-19,81233561.0000
2024-04-18,91021015.0000
2024-04-17,96658301.0000
2024-04-16,103814530.0000
2024-04-15,110575949.0000
2024-04-12,120105993.0000
2024-04-11,127065716.0000
2024-04-10,121955815.0000
2024-04-09,128889203.0000
2024-04-08,123715383.0000
2024-04-05,118990342.0000
2024-04-04,113439563.0000
2024-04-03,120241188.0000
2024-04-02,114073270.0000
2024-04-01,118862877.0000
2024-03-28,124571997.0000
2024-03-27,128637015.0000
2024-03-26,123685586.0000
2024-03-25,131759088.0000
2024-03-22,137840365.0000
2024-03-21,143721868.0000
2024-03-20,138677188.0000
2024-03-19,132497832.0000
2024-03-18,127947584.0000
2024-03-15,124008479.0000
2024-03-14,130815566.0000
2024-03-13,135953380.0000
2024-03-12,139484063.0000
2024-03-11,134698826.0000
2024-03-08,140002982.0000
2024-03-07,146288607.0000
2024-03-06,139138805.0000
2024-03-05,133813755.0000
2024-03-04,138430258.0000
2024-03-01,142400500.0000
2024-02-29,137561079.0000
2024-02-28,130228158.0000
2024-02-27,133028760.0000
2024-02-26,129441817.0000
2024-02-23,132892621.0000
2024-02-22,128842000.0000
2024-02-21,124513464.0000
2024-02-20,120290386.0000
2024-02-16,125597170.0000
2024-02-15,131125063.0000
2024-02-14,125429352.0000
2024-02-13,119805343.0000
2024-02-12,127957585.0000
2024-02-09,132521818.0000
2024-02-08,128519224.0000
2024-02-07,124334632.0000
2024-02-06,117571217.0000
2024-02-05,113187616.0000
2024-02-02,120289473.0000
2024-02-01,114035991.0000
2024-01-31,107897631.0000
2024-01-30,115005674.0000
2024-01-29,118415627.0000
2024-01-26,113872375.0000
2024-01-25,120276398.0000
2024-01-24,116109343.0000
2024-01-23,111882376.0000
2024-01-22,108630790.0000
2024-01-19,102760378.0000
2024-01-18,97923576.0000
2024-01-17,93592291.0000
2024-01-16,99636902.0000
2024-01-12,105367741.0000
2024-01-11,100185072.0000
2024-01-10,104981659.0000
2024-01-09,100702818.0000
2024-01-08,108642385.0000
2024-01-05,101420023.0000
2024-01-04,95726788.0000
2024-01-03,99672047.0000
2024-01-02,104477096.0000
2023-12-29,113553137.0000
2023-12-28,117930022.0000
2023-12-27,113226367.0000
2023-12-26,108975893.0000
2023-12-22,105140056.0000
2023-12-21,101102227.0000
2023-12-20,96480621.0000
2023-12-19,102263855.0000
2023-12-18,98225926.0000
2023-12-15,93945451.0000
2023-12-14,99271492.0000
2023-12-13,90922349.0000
2023-12-12,82263233.0000
2023-12-11,76280676.0000
2023-12-08,71033590.0000
2023-12-07,65908312.0000
2023-12-06,62660061.0000
2023-12-05,66847937.0000
2023-12-04,70267220.0000
2023-12-01,76073299.0000
2023-11-30,71099674.0000
2023-11-29,66693984.0000
2023-11-28,70786602.0000
2023-11-27,67404160.0000
2023-11-24,71036712.0000
2023-11-22,69685440.0000
2023-11-21,65991376.0000
2023-11-20,71239563.0000
2023-11-17,67715151.0000
2023-11-16,63015012.0000
2023-11-15,59216123.0000
2023-11-14,54801316.0000
2023-11-13,47828201.0000
2023-11-10,50701142.0000
2023-11-09,46706703.0000
2023-11-08,50852318.0000
2023-11-07,47120460.0000
2023-11-06,43761882.0000
2023-11-03,39754777.0000
2023-11-02,33773342.0000
2023-11-01,29021178.0000
2023-10-31,23472019.0000
2023-10-30,18948859.0000
2023-10-27,13153098.0000
2023-10-26,18791850.0000
2023-10-25,25751251.0000
2023-10-24,31222465.0000
2023-10-23,26770952.0000
2023-10-20,32308083.0000
2023-10-19,39857697.0000
2023-10-18,46566600.0000
2023-10-17,53895861.0000
2023-10-16,49681252.0000
2023-10-13,44530311.0000
2023-10-12,48302530.0000
2023-10-11,52175459.0000
2023-10-10,47993675.0000
2023-10-09,44704035.0000
2023-10-06,41744533.0000
2023-10-05,36847314.0000
2023-10-04,40176405.0000
2023-10-03,35842665.0000
2023-10-02,42729328.0000
2023-09-29,48615481.0000
2023-09-28,54382066.0000
2023-09-27,50316291.0000
2023-09-26,45478593.0000
2023-09-25,51213327.0000
2023-09-22,47985427.0000
2023-09-21,55191955.0000
2023-09-20,59825094.0000
2023-09-19,63834509.0000
2023-09-18,67464282.0000
2023-09-15,64449711.0000
2023-09-14,68453741.0000
2023-09-13,64792840.0000
2023-09-12,62263092.0000
2023-09-11,69858388.0000
2023-09-08,66511825.0000
2023-09-07,62386602.0000
2023-09-06,64632361.0000
2023-09-05,68376429.0000
2023-09-01,72803116.0000
2023-08-31,69215145.0000
2023-08-30,73966276.0000
2023-08-29,70961760.0000
2023-08-28,67479096.0000
2023-08-25,64242385.0000
2023-08-24,59824550.0000
2023-08-23,63283341.0000
2023-08-22,60033377.0000
2023-08-21,62681428.0000
2023-08-18,59388994.0000
2023-08-17,55231327.0000
2023-08-16,62333831.0000
2023-08-15,65687484.0000
2023-08-14,70373603.0000
2023-08-11,67600691.0000
2023-08-10,70519553.0000
2023-08-09,65931227.0000
2023-08-08,69077161.0000
2023-08-07,72857247.0000
2023-08-04,70259270.0000
2023-08-03,75976536.0000
2023-08-02,79004735.0000
2023-08-01,83983803.0000
2023-07-31,87121078.0000
2023-07-28,83666541.0000
2023-07-27,80963812.0000
2023-07-26,85113255.0000
2023-07-25,78974418.0000
2023-07-24,75025110.0000
2023-07-21,71553984.0000
2023-07-20,68377271.0000
2023-07-19,72462268.0000
2023-07-18,68967352.0000
2023-07-17,65370068.0000
2023-07-14,62401801.0000
2023-07-13,66082746.0000
2023-07-12,62809319.0000
2023-07-11,58562960.0000
2023-07-10,55381089.0000
2023-07-07,52018812.0000
2023-07-06,55692061.0000
2023-07-05,61732332.0000
2023-07-03,65966456.0000
2023-06-30,63594437.0000
2023-06-29,58420745.0000
2023-06-28,54505896.0000
2023-06-27,50185224.0000
2023-06-26,45882863.0000
2023-06-23,49133563.0000
2023-06-22,53348870.0000
2023-06-21,50207849.0000
2023-06-20,53631392.0000
2023-06-16,57878273.0000
2023-06-15,63020158.0000
2023-06-14,57735174.0000
2023-06-13,52573896.0000
2023-06-12,48660811.0000
2023-06-09,44863566.0000
2023-06-08,41800698.0000
2023-06-07,38340347.0000
2023-06-06,42283240.0000
2023-06-05,39388577.0000
2023-06-02,42869731.0000
2023-06-01,35500829.0000
2023-05-31,31937274.0000
2023-05-30,36101951.0000
2023-05-26,32133500.0000
2023-05-25,29090708.0000
2023-05-24,25774836.0000
2023-05-23,29386428.0000
2023-05-22,32273692.0000
2023-05-19,29489680.0000
2023-05-18,33138723.0000
2023-05-17,29798103.0000
2023-05-16,26575458.0000
2023-05-15,28853074.0000
2023-05-12,24970513.0000
2023-05-11,27501528.0000
2023-05-10,30178150.0000
2023-05-09,26665203.0000
2023-05-08,28936252.0000
2023-05-05,25978634.0000
2023-05-04,22839240.0000
2023-05-03,27260724.0000
2023-05-02,32773763.0000
2023-05-01,37085353.0000
2023-04-28,40154650.0000
2023-04-27,36767743.0000
2023-04-26,32465366.0000
2023-04-25,36208736.0000
2023-04-24,40004164.0000
2023-04-21,37693791.0000
2023-04-20,34931485.0000
2023-04-19,37884658.0000
2023-04-18,40555969.0000
2023-04-17,37536701.0000
2023-04-14,34831415.0000
2023-04-13,37813068.0000
2023-04-12,35132198.0000
2023-04-11,38756371.0000
2023-04-10,35687370.0000
2023-04-06,33016253.0000
2023-04-05,29940030.0000
2023-04-04,33167765.0000
2023-04-03,35881043.0000
2023-03-31,32355747.0000
2023-03-30,28195903.0000
2023-03-29,24879161.0000
2023-03-28,21243092.0000
2023-03-27,23656745.0000
2023-03-24,19511950.0000
