index,open,high,low,close,volume
2020-12-31 18:31:00,327.9000,328.0310,327.8320,327.9720,125
2020-12-31 17:13:00,328.3200,328.4510,328.2520,328.3930,268
2020-12-31 17:07:00,328.3110,328.4420,328.2430,328.3830,300
2020-12-31 16:55:00,328.3490,328.5180,328.2810,328.4590,900
2020-12-31 16:53:00,328.3200,328.4700,328.2520,328.4120,250
2020-12-31 16:48:00,328.2920,328.4320,328.2050,328.3640,1700
2020-12-31 16:30:00,328.2440,328.3750,328.1760,328.3160,300
2020-12-31 16:24:00,328.2540,328.3840,328.1860,328.3260,100
2020-12-31 16:20:00,328.1200,328.2510,328.0520,328.1920,150
2020-12-31 16:15:00,327.9390,328.0690,327.8710,328.0110,10000
2020-12-31 16:14:00,328.2540,328.3840,328.1760,328.3160,416
2020-12-31 16:13:00,328.2730,328.4130,328.1090,328.3070,21839
2020-12-31 16:12:00,328.2730,328.4030,328.2050,328.3450,200
2020-12-31 16:09:00,328.2660,328.3960,328.1880,328.3280,725549
2020-12-31 16:07:00,328.3110,328.4420,328.2430,328.3830,500
2020-12-31 16:06:00,328.3110,328.4610,328.1950,328.3350,5600
2020-12-31 16:05:00,328.2920,328.5940,328.2240,328.3830,8400
2020-12-31 16:04:00,328.3400,328.5080,328.2430,328.4020,7400
2020-12-31 16:03:00,328.2340,328.4700,328.1660,328.4120,1100
2020-12-31 16:02:00,328.2920,328.4990,328.1860,328.3260,1100
2020-12-31 16:01:00,328.3010,328.4320,328.2330,328.3730,241
2020-12-31 16:00:00,328.1200,328.8430,328.0520,328.7840,100830
2020-12-31 15:59:00,328.4730,328.9000,327.9660,328.1250,241847
2020-12-31 15:58:00,328.3870,328.6230,328.2860,328.5170,12371
2020-12-31 15:57:00,328.4250,328.7190,328.2520,328.4590,22533
2020-12-31 15:56:00,328.1960,328.5470,328.1190,328.4880,7489
2020-12-31 15:55:00,328.2150,328.4320,327.9950,328.2020,24286
2020-12-31 15:54:00,328.3400,328.5080,328.1660,328.3110,8918
2020-12-31 15:53:00,328.2240,328.5190,328.1470,328.3730,6337
2020-12-31 15:52:00,328.2250,328.4700,328.1570,328.3930,5910
2020-12-31 15:51:00,328.2150,328.3770,328.0140,328.2880,4280
2020-12-31 15:50:00,327.7480,328.4890,327.6800,328.2210,22413
2020-12-31 15:49:00,327.8140,328.0120,327.6220,327.7720,10505
2020-12-31 15:48:00,327.7090,327.9070,327.6030,327.8480,7479
2020-12-31 15:47:00,327.6330,327.8300,327.5080,327.7620,7574
2020-12-31 15:46:00,327.5850,327.7970,327.4980,327.7050,4566
2020-12-31 15:45:00,327.5380,327.7830,327.4700,327.6650,11317
2020-12-31 15:44:00,327.5380,327.6970,327.4700,327.6290,3901
2020-12-31 15:43:00,327.6520,327.7830,327.4790,327.6480,2871
2020-12-31 15:42:00,327.4710,327.7540,327.4030,327.6960,1571
2020-12-31 15:41:00,327.4150,327.6010,327.3460,327.5430,2486
2020-12-31 15:40:00,327.5950,327.7540,327.2980,327.4380,16335
2020-12-31 15:39:00,327.7290,327.8780,327.5650,327.7150,3744
2020-12-31 15:38:00,327.8340,327.9640,327.7180,327.8580,3126
2020-12-31 15:37:00,327.8810,328.0210,327.7180,327.8960,3555
2020-12-31 15:36:00,327.7380,327.9740,327.6700,327.8910,4671
2020-12-31 15:35:00,327.7480,327.9360,327.6050,327.7450,2028
2020-12-31 15:34:00,327.6810,327.8690,327.6130,327.7720,2456
2020-12-31 15:33:00,327.5850,327.8300,327.5170,327.7720,3323
2020-12-31 15:32:00,327.5950,327.7250,327.4410,327.6290,2616
2020-12-31 15:31:00,327.6140,327.7440,327.4890,327.6570,2661
2020-12-31 15:30:00,327.5950,327.7830,327.5270,327.6760,2152
2020-12-31 15:29:00,327.6140,327.7540,327.5220,327.6670,1120
2020-12-31 15:28:00,327.6040,327.7440,327.5270,327.6720,783
2020-12-31 15:27:00,327.7190,327.8690,327.5560,327.6960,4246
2020-12-31 15:26:00,327.6330,327.8300,327.5650,327.7720,2652
2020-12-31 15:25:00,327.6710,327.8590,327.5940,327.7620,2535
2020-12-31 15:24:00,327.7090,327.8400,327.6030,327.7430,4695
2020-12-31 15:23:00,327.7000,327.8400,327.6030,327.7720,17532
2020-12-31 15:22:00,327.6520,327.8120,327.5650,327.7540,2996
