date,macd,macd_signal,macd_hist
2024-06-28,7.6799,5.9364,1.7435
2024-06-27,7.2350,5.4307,1.8043
2024-06-26,6.7912,4.9454,1.8459
2024-06-25,6.4739,4.5001,1.9738
2024-06-24,6.2162,4.0819,2.1343
2024-06-21,5.7567,3.7728,1.9839
2024-06-20,5.1397,3.6069,1.5328
2024-06-18,4.5254,3.5993,0.9261
2024-06-17,3.6096,3.7173,-0.1077
2024-06-14,3.1284,4.0016,-0.8732
2024-06-13,2.8672,4.4471,-1.5799
2024-06-12,2.7835,5.0115,-2.2280
2024-06-11,2.7101,5.6311,-2.9209
2024-06-10,3.4341,6.3316,-2.8975
2024-06-07,4.2640,7.0286,-2.7647
2024-06-06,5.0715,7.6455,-2.5740
2024-06-05,5.5872,8.1671,-2.5799
2024-06-04,6.1687,8.6059,-2.4372
2024-06-03,7.1375,8.9375,-1.8000
2024-05-31,7.9468,9.0624,-1.1156
2024-05-30,8.3597,8.9409,-0.5812
2024-05-29,9.0152,8.5915,0.4237
2024-05-28,9.7072,8.0526,1.6546
2024-05-24,9.8154,7.3242,2.4912
2024-05-23,9.7659,6.4656,3.3003
2024-05-22,9.5364,5.4453,4.0910
2024-05-21,9.1533,4.3139,4.8395
2024-05-20,8.2613,3.0910,5.1704
2024-05-17,6.8535,1.8075,5.0460
2024-05-16,5.2151,0.5018,4.7133
2024-05-15,4.1653,-0.7588,4.9242
2024-05-14,3.1514,-1.9872,5.1386
2024-05-13,2.0881,-3.1635,5.2516
2024-05-10,0.5836,-4.1767,4.7602
2024-05-09,-0.6468,-5.0263,4.3795
2024-05-08,-1.8529,-5.7439,3.8909
2024-05-07,-3.2899,-6.3037,3.0139
2024-05-06,-4.8974,-6.5737,1.6763
2024-05-03,-6.1307,-6.5875,0.4568
2024-05-02,-6.8905,-6.3894,-0.5011
2024-05-01,-7.4349,-5.9572,-1.4777
2024-04-30,-7.0303,-5.3720,-1.6583
2024-04-29,-7.0632,-4.7322,-2.3310
2024-04-26,-7.1052,-3.9491,-3.1561
2024-04-25,-6.8916,-3.0410,-3.8506
2024-04-24,-5.7198,-2.0867,-3.6332
2024-04-23,-5.0211,-1.1831,-3.8380
2024-04-22,-4.3480,-0.2947,-4.0532
2024-04-19,-3.0006,0.6043,-3.6049
2024-04-18,-2.1684,1.4297,-3.5981
2024-04-17,-1.2720,2.1835,-3.4555
2024-04-16,-0.0150,2.8596,-2.8746
2024-04-15,1.0674,3.3875,-2.3200
2024-04-12,1.6975,3.7742,-2.0768
2024-04-11,2.4124,4.1076,-1.6952
2024-04-10,2.9743,4.3749,-1.4006
2024-04-09,3.7430,4.5982,-0.8552
2024-04-08,4.4283,4.7273,-0.2990
2024-04-05,4.6154,4.8002,-0.1848
