index,open,high,low,close,volume
2021-07-30 19:09:00,387.4510,387.5850,387.3750,387.5200,200
2021-07-30 17:36:00,387.4130,387.5460,387.3370,387.4810,143
2021-07-30 17:13:00,387.8740,388.0080,387.7980,387.9430,275
2021-07-30 16:57:00,387.9510,388.0850,387.8750,388.0200,300
2021-07-30 16:47:00,387.9800,388.1140,387.9040,388.0480,100
2021-07-30 16:43:00,387.9610,388.0940,387.8850,388.0290,200
2021-07-30 16:37:00,387.9800,388.1140,387.8560,388.0000,800
2021-07-30 16:28:00,387.9800,388.1140,387.9040,388.0480,113
2021-07-30 16:27:00,387.9800,388.1140,387.9040,388.0480,100
2021-07-30 16:26:00,387.9800,388.1140,387.9040,388.0480,200
2021-07-30 16:24:00,387.9800,388.1140,387.9040,388.0480,400
2021-07-30 16:22:00,387.9800,388.1140,387.9040,388.0480,100
2021-07-30 16:17:00,387.8840,388.0270,387.8080,387.9620,339
2021-07-30 16:15:00,387.9610,388.0940,387.8850,388.0290,400
2021-07-30 16:14:00,387.8640,388.0940,387.7890,388.0290,775
2021-07-30 16:12:00,387.8360,387.9690,387.7600,387.9040,2500
2021-07-30 16:11:00,387.8450,387.9790,387.7600,387.9040,200
2021-07-30 16:10:00,387.5470,387.9980,387.4710,387.9330,130
2021-07-30 16:09:00,387.3920,387.5260,387.3170,387.4610,21700
2021-07-30 16:08:00,387.8450,387.9790,387.7690,387.9140,100
2021-07-30 16:07:00,387.8260,387.9690,387.7500,387.9040,1300
2021-07-30 16:06:00,387.9800,388.1140,387.9040,388.0480,100
2021-07-30 16:03:00,387.8930,388.1140,387.8080,388.0480,3450
2021-07-30 16:02:00,387.8930,388.0270,387.4710,387.6160,74510
2021-07-30 16:01:00,387.9220,388.0560,387.7500,387.9330,2700
2021-07-30 16:00:00,387.5180,387.9410,387.4040,387.8750,371843
2021-07-30 15:59:00,387.3550,387.7000,387.2220,387.5870,177148
2021-07-30 15:58:00,387.1910,387.5370,387.1160,387.4230,92249
2021-07-30 15:57:00,387.2190,387.4310,387.0680,387.2790,70105
2021-07-30 15:56:00,387.2400,387.4120,387.0680,387.3080,61327
2021-07-30 15:55:00,387.1630,387.4210,387.0290,387.3080,102846
2021-07-30 15:54:00,387.4800,387.6140,387.0770,387.2220,21234
2021-07-30 15:53:00,387.3650,387.6520,387.2600,387.5100,34362
2021-07-30 15:52:00,387.2680,387.5660,387.1830,387.4710,23127
2021-07-30 15:51:00,387.1480,387.3920,387.0390,387.3270,24260
2021-07-30 15:50:00,387.2010,387.3830,386.9520,387.2110,42275
2021-07-30 15:49:00,387.1630,387.3830,387.0820,387.2600,21533
2021-07-30 15:48:00,387.1740,387.3250,387.0580,387.2190,13719
2021-07-30 15:47:00,387.2010,387.3440,387.0680,387.2310,12510
2021-07-30 15:46:00,387.1670,387.3640,387.0920,387.2700,12959
2021-07-30 15:45:00,387.1530,387.3150,387.0680,387.2220,16813
2021-07-30 15:44:00,387.2400,387.4690,387.0770,387.2220,16135
2021-07-30 15:43:00,387.2490,387.4410,387.1450,387.2980,18553
2021-07-30 15:42:00,387.3070,387.4410,387.1350,387.3080,13914
2021-07-30 15:41:00,387.4610,387.5940,387.2020,387.3560,25983
2021-07-30 15:40:00,387.3840,387.6140,387.2700,387.5480,11540
2021-07-30 15:39:00,387.4030,387.5560,387.2600,387.4040,8493
2021-07-30 15:38:00,387.4030,387.6230,387.3270,387.4810,11056
2021-07-30 15:37:00,387.3930,387.5940,387.2790,387.4710,10569
2021-07-30 15:36:00,387.5280,387.6810,387.3750,387.5290,11213
2021-07-30 15:35:00,387.6630,387.8160,387.4230,387.5870,15709
2021-07-30 15:34:00,387.6770,387.8250,387.5770,387.7210,5534
2021-07-30 15:33:00,387.6430,387.8060,387.5200,387.7020,7420
2021-07-30 15:32:00,387.5760,387.8250,387.4910,387.7310,11929
2021-07-30 15:31:00,387.6140,387.7670,387.4040,387.6540,7769
2021-07-30 15:30:00,387.4890,387.7290,387.4140,387.6540,11026
2021-07-30 15:29:00,387.4220,387.6140,387.3370,387.5290,6112
2021-07-30 15:28:00,387.4800,387.6620,387.3750,387.5200,7721
2021-07-30 15:27:00,387.4030,387.6160,387.3270,387.5390,5476
2021-07-30 15:26:00,387.3450,387.5460,387.2600,387.4710,29376
2021-07-30 15:25:00,387.1910,387.4410,387.1160,387.3750,3864
2021-07-30 15:24:00,387.2680,387.4020,387.0970,387.2600,7245
2021-07-30 15:23:00,387.3450,387.4980,387.1930,387.3460,32242
2021-07-30 15:22:00,387.4990,387.6620,387.2890,387.4350,10631
2021-07-30 15:21:00,387.5950,387.7290,387.4040,387.5680,3305
2021-07-30 15:20:00,387.5950,387.7770,387.5100,387.6540,5027
2021-07-30 15:19:00,387.6720,387.8250,387.5090,387.6540,6126
2021-07-30 15:18:00,387.6720,387.8250,387.5680,387.7310,4759
2021-07-30 15:17:00,387.6530,387.8350,387.5530,387.7600,8105
2021-07-30 15:16:00,387.6050,387.8250,387.5290,387.7400,5010
2021-07-30 15:15:00,387.7300,387.8830,387.5200,387.6640,35813
2021-07-30 15:14:00,387.7970,387.9310,387.6160,387.7600,5122
2021-07-30 15:13:00,387.7490,387.9590,387.6730,387.8560,6581
2021-07-30 15:12:00,387.8070,387.9410,387.6780,387.8220,2903
2021-07-30 15:11:00,387.7680,387.9310,387.6440,387.7980,4707
2021-07-30 15:10:00,387.8070,387.9690,387.6730,387.8270,4014
2021-07-30 15:09:00,387.7200,387.9500,387.6440,387.8850,2380
2021-07-30 15:08:00,387.7070,387.8920,387.5870,387.7980,9457
2021-07-30 15:07:00,387.8070,387.9680,387.6250,387.7890,16086
2021-07-30 15:06:00,387.7490,387.9600,387.6730,387.8850,2569
2021-07-30 15:05:00,387.7970,387.9310,387.6540,387.8030,1193
2021-07-30 15:04:00,387.7590,387.9450,387.6730,387.8800,3318
2021-07-30 15:03:00,387.7020,387.9210,387.6250,387.8560,7231
